algorithms,AI,computational science,computer architecture,computer engineering,computer graphics,computer hardware,computer network,computer security,computer vision,data mining,data science,database,distributed computing,embedded systems,human-computer interaction,information retrieval,internet privacy,knowledge management,library science,machine learning,multimedia,natural language processing,operating systems,parallel computing,pattern recognition,programming languages,real-time computing,simulation,software engineering,speech recognition,telecommunications,theoretical computer science,world wide web
,,,,0.29969721573704783,,,0.2738208767706088,0.3134197718112829,,,,,,,,,0.03948092059541761,,,,,,,,,,,,0.07358121508564286,,,,
,0.03841510144269586,,,,0.1057280082319133,,,,0.19082821558174642,,,,,,0.02510270018740522,,,,,0.04457134569051826,,0.20345015551720244,,,0.15214653775191178,,,,,0.23975793559660674,,,
,,,0.3999684273397018,,,0.4170246374464563,,,,,,,,,,,,,,,,,0.18300693521384198,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.7343929411578906,,,,,,,,,0.26560705884210944,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
,,,,,,,,,,,,,,0.1859545986856661,,,,,,,,,,,,,0.8140454013143339,,,,,,
,,,,,,,,,,,,,,0.43263778106949863,,,,,,,,,,,,,0.5673622189305014,,,,,,
,,0.5023423823126345,,,,,,,,,,,0.33648093538580764,,,,,,,,,,,0.10647892617482868,,,,,,,0.05469775612672912,,
,0.1612554248020294,,,,,,,,,,,,,,,,,,,,,0.23183993106292275,,,0.448204170383691,,,,,0.15870047375135693,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
,,,,,0.31373645320994203,,,,0.08368862757512759,,,,,,,,,,,0.3322922321938633,,,,,0.2702826870210671,,,,,,,,
,,,0.3550055086669719,,,0.6288494219732552,,,,,,,,,,,,,,,,,0.01614506935977283,,,,,,,,,,
,,,,,,,,,,0.047632345722597405,0.21081175054499332,0.2810076955891131,,,,0.02769930357671982,,0.16185495307690642,,,,,,,,,,,,,,,0.2709939514896698
,,,0.4089246463625592,,,0.37712112226099903,,,,,,,,,,,,,,,,,0.21395423137644184,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
,,,0.036755156591648346,,,0.3511279788996345,,,,,,,,,,,,,,,,,0.6121168645087173,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
,,,,,0.2971810745900098,,,,0.1236587924162968,,,,,,,,,,,0.27257770900770967,,,,,0.3065824239859837,,,,,,,,
0.12487429807665595,,,,,,,,,,,,,,,,,,,,,0.6678552760911652,,,,,,,,,,,0.20727042583217875,
,,,,0.06745120876078965,,,0.25172519046413283,0.24826629802536773,,,,,,,,,0.2897163291716261,,,,,,,,,,,,0.14284097357808376,,,,
,,,,0.22921803425955822,,,0.0015644518951034839,0.010004044012047452,,,,,,,,,0.34488173093581787,,,,,,,,,,,,0.41433173889747293,,,,
,,,,,,,,,,0.2059713715410832,0.26972996425440504,0.00832506746613823,,,,0.24255202070405038,,0.002204164304330649,,,,,,,,,,,,,,,0.2712174117299925
,,0.34581008642328787,,,,,,,,,,,0.09969609980318093,,,,,,,,,,,0.3920952585625349,,,,,,,0.16239855521099625,,
,,,,0.07296851883229148,,,0.1678502440806577,0.31786240755430595,,,,,,,,,0.3189893070102241,,,,,,,,,,,,0.12232952252252094,,,,
